Year,Units,Area,Sex,Regions,Value
2017,Percent,,,Shygys Kazakhstan,40.0
2018,Percent,,,Shygys Kazakhstan,39.2
2010,Percent,,,Nur-Sultan city,61.4
2011,Percent,,,Nur-Sultan city,68.3
2012,Percent,,,Nur-Sultan city,60.4
2013,Percent,,,Nur-Sultan city,38.8
2014,Percent,,,Nur-Sultan city,40.5
2015,Percent,,,Nur-Sultan city,43.2
2016,Percent,,,Nur-Sultan city,44.0
2017,Percent,,,Nur-Sultan city,45.6
2018,Percent,,,Nur-Sultan city,48.4
2010,Percent,,,Almaty city,61.1
2011,Percent,,,Almaty city,60.0
2012,Percent,,,Almaty city,71.4
2013,Percent,,,Almaty city,64.1
2014,Percent,,,Almaty city,69.2
2015,Percent,,,Almaty city,76.7
2016,Percent,,,Almaty city,66.2
2017,Percent,,,Almaty city,65.0
2018,Percent,,,Almaty city,66.0
2018,Percent,,,Shymkent city,58.4
2010,Percent,,Male,,26.0
2011,Percent,,Male,,28.3
2012,Percent,,Male,,33.3
2013,Percent,,Male,,32.7
2014,Percent,,Male,,36.8
2015,Percent,,Male,,37.2
2016,Percent,,Male,,37.3
2017,Percent,,Male,,39.1
2018,Percent,,Male,,39.7
2010,Percent,,Male,Akmola,27.5
2011,Percent,,Male,Akmola,23.2
2012,Percent,,Male,Akmola,15.7
2013,Percent,,Male,Akmola,22.3
2014,Percent,,Male,Akmola,28.5
2015,Percent,,Male,Akmola,28.1
2016,Percent,,Male,Akmola,33.1
2017,Percent,,Male,Akmola,29.6
2018,Percent,,Male,Akmola,33.7
2010,Percent,,Male,Aktobe,19.9
2011,Percent,,Male,Aktobe,31.3
2012,Percent,,Male,Aktobe,35.5
2013,Percent,,Male,Aktobe,39.0
2014,Percent,,Male,Aktobe,23.7
2015,Percent,,Male,Aktobe,27.1
2016,Percent,,Male,Aktobe,31.5
2017,Percent,,Male,Aktobe,32.9
2018,Percent,,Male,Aktobe,26.8
2010,Percent,,Male,Almaty,22.1
2011,Percent,,Male,Almaty,20.3
2012,Percent,,Male,Almaty,25.3
2013,Percent,,Male,Almaty,25.4
2014,Percent,,Male,Almaty,25.0
2015,Percent,,Male,Almaty,24.6
2016,Percent,,Male,Almaty,24.5
2017,Percent,,Male,Almaty,31.9
2018,Percent,,Male,Almaty,29.3
2010,Percent,,Male,Atyrau,20.7
2011,Percent,,Male,Atyrau,23.4
2012,Percent,,Male,Atyrau,35.5
2013,Percent,,Male,Atyrau,32.3
2014,Percent,,Male,Atyrau,40.0
2015,Percent,,Male,Atyrau,28.0
2016,Percent,,Male,Atyrau,39.2
2017,Percent,,Male,Atyrau,30.5
2018,Percent,,Male,Atyrau,46.0
2010,Percent,,Male,Batys Kazakhstan,32.2
2011,Percent,,Male,Batys Kazakhstan,29.2
2012,Percent,,Male,Batys Kazakhstan,27.6
2013,Percent,,Male,Batys Kazakhstan,27.1
2014,Percent,,Male,Batys Kazakhstan,34.3
2015,Percent,,Male,Batys Kazakhstan,31.8
2016,Percent,,Male,Batys Kazakhstan,27.3
2017,Percent,,Male,Batys Kazakhstan,29.3
2018,Percent,,Male,Batys Kazakhstan,27.8
2010,Percent,,Male,Zhambyl,13.4
2011,Percent,,Male,Zhambyl,16.7
2012,Percent,,Male,Zhambyl,27.3
2013,Percent,,Male,Zhambyl,24.3
2014,Percent,,Male,Zhambyl,26.5
2015,Percent,,Male,Zhambyl,27.2
2016,Percent,,Male,Zhambyl,25.2
2017,Percent,,Male,Zhambyl,30.5
2018,Percent,,Male,Zhambyl,32.0
2010,Percent,,Male,Karagandy,27.4
2011,Percent,,Male,Karagandy,32.0
2012,Percent,,Male,Karagandy,34.1
2013,Percent,,Male,Karagandy,33.5
2014,Percent,,Male,Karagandy,35.2
2015,Percent,,Male,Karagandy,32.9
2016,Percent,,Male,Karagandy,37.7
2017,Percent,,Male,Karagandy,35.3
2018,Percent,,Male,Karagandy,35.3
2010,Percent,,Male,Kostanay,23.1
2011,Percent,,Male,Kostanay,20.0
2012,Percent,,Male,Kostanay,25.2
2013,Percent,,Male,Kostanay,22.0
2014,Percent,,Male,Kostanay,34.3
2015,Percent,,Male,Kostanay,27.6
2016,Percent,,Male,Kostanay,28.8
2017,Percent,,Male,Kostanay,31.5
2018,Percent,,Male,Kostanay,26.8
2010,Percent,,Male,Kyzylorda,26.1
2011,Percent,,Male,Kyzylorda,30.7
2012,Percent,,Male,Kyzylorda,32.1
2013,Percent,,Male,Kyzylorda,27.7
2014,Percent,,Male,Kyzylorda,30.4
2015,Percent,,Male,Kyzylorda,33.0
2016,Percent,,Male,Kyzylorda,35.6
2017,Percent,,Male,Kyzylorda,35.1
2018,Percent,,Male,Kyzylorda,33.1
2010,Percent,,Male,Mangistau,20.3
2011,Percent,,Male,Mangistau,27.3
2012,Percent,,Male,Mangistau,38.1
2013,Percent,,Male,Mangistau,33.8
2014,Percent,,Male,Mangistau,37.4
2015,Percent,,Male,Mangistau,26.4
2016,Percent,,Male,Mangistau,30.2
2017,Percent,,Male,Mangistau,27.4
2018,Percent,,Male,Mangistau,29.8
2010,Percent,,Male,Ontustik Kazakhstan,19.4
2011,Percent,,Male,Ontustik Kazakhstan,22.3
2012,Percent,,Male,Ontustik Kazakhstan,25.2
2013,Percent,,Male,Ontustik Kazakhstan,26.6
2014,Percent,,Male,Ontustik Kazakhstan,37.1
2015,Percent,,Male,Ontustik Kazakhstan,34.6
2016,Percent,,Male,Ontustik Kazakhstan,40.4
2017,Percent,,Male,Ontustik Kazakhstan,43.0
2010,Percent,,Male,Pavlodar,22.7
2011,Percent,,Male,Pavlodar,21.9
2012,Percent,,Male,Pavlodar,24.9
2013,Percent,,Male,Pavlodar,21.7
2014,Percent,,Male,Pavlodar,32.1
2015,Percent,,Male,Pavlodar,27.3
2016,Percent,,Male,Pavlodar,30.2
2017,Percent,,Male,Pavlodar,32.1
2018,Percent,,Male,Pavlodar,30.5
2010,Percent,,Male,Soltustik Kazakhstan,14.4
2011,Percent,,Male,Soltustik Kazakhstan,19.0
2012,Percent,,Male,Soltustik Kazakhstan,17.6
2013,Percent,,Male,Soltustik Kazakhstan,18.9
2014,Percent,,Male,Soltustik Kazakhstan,27.7
2015,Percent,,Male,Soltustik Kazakhstan,26.8
2016,Percent,,Male,Soltustik Kazakhstan,31.5
2017,Percent,,Male,Soltustik Kazakhstan,30.6
2018,Percent,,Male,Soltustik Kazakhstan,25.4
2018,Percent,,Male,Turkistan,34.4
2010,Percent,,Male,Shygys Kazakhstan,20.3
2011,Percent,,Male,Shygys Kazakhstan,24.5
2012,Percent,,Male,Shygys Kazakhstan,32.2
2013,Percent,,Male,Shygys Kazakhstan,16.6
2014,Percent,,Male,Shygys Kazakhstan,32.2
2015,Percent,,Male,Shygys Kazakhstan,29.6
2016,Percent,,Male,Shygys Kazakhstan,31.5
2017,Percent,,Male,Shygys Kazakhstan,32.6
2018,Percent,,Male,Shygys Kazakhstan,34.8
2010,Percent,,Male,Nur-Sultan city,51.8
2011,Percent,,Male,Nur-Sultan city,64.8
2012,Percent,,Male,Nur-Sultan city,54.3
2013,Percent,,Male,Nur-Sultan city,33.0
2014,Percent,,Male,Nur-Sultan city,37.6
2015,Percent,,Male,Nur-Sultan city,39.7
2016,Percent,,Male,Nur-Sultan city,40.4
2017,Percent,,Male,Nur-Sultan city,41.8
2018,Percent,,Male,Nur-Sultan city,44.0
2010,Percent,,Male,Almaty city,57.7
2011,Percent,,Male,Almaty city,53.6
2012,Percent,,Male,Almaty city,71.4
2013,Percent,,Male,Almaty city,59.9
2014,Percent,,Male,Almaty city,66.6
2015,Percent,,Male,Almaty city,72.9
2016,Percent,,Male,Almaty city,61.2
2017,Percent,,Male,Almaty city,61.3
2018,Percent,,Male,Almaty city,63.0
2018,Percent,,Male,Shymkent city,58.9
2010,Percent,,Female,,36.6
2011,Percent,,Female,,40.0
2012,Percent,,Female,,42.6
2013,Percent,,Female,,43.1
2014,Percent,,Female,,47.1
2015,Percent,,Female,,50.4
2016,Percent,,Female,,49.5
2017,Percent,,Female,,51.0
2018,Percent,,Female,,50.5
2010,Percent,,Female,Akmola,26.6
2011,Percent,,Female,Akmola,25.4
2012,Percent,,Female,Akmola,34.5
2013,Percent,,Female,Akmola,32.8
2014,Percent,,Female,Akmola,39.8
2015,Percent,,Female,Akmola,36.5
2016,Percent,,Female,Akmola,39.7
2017,Percent,,Female,Akmola,39.4
2018,Percent,,Female,Akmola,44.2
2010,Percent,,Female,Aktobe,40.6
2011,Percent,,Female,Aktobe,49.4
2012,Percent,,Female,Aktobe,41.4
2013,Percent,,Female,Aktobe,55.1
2014,Percent,,Female,Aktobe,45.9
2015,Percent,,Female,Aktobe,46.2
2016,Percent,,Female,Aktobe,45.0
2017,Percent,,Female,Aktobe,57.4
2018,Percent,,Female,Aktobe,47.6
2010,Percent,,Female,Almaty,35.9
2011,Percent,,Female,Almaty,35.0
2012,Percent,,Female,Almaty,28.3
2013,Percent,,Female,Almaty,25.4
2014,Percent,,Female,Almaty,33.4
2015,Percent,,Female,Almaty,36.2
2016,Percent,,Female,Almaty,35.5
2017,Percent,,Female,Almaty,38.6
2018,Percent,,Female,Almaty,41.2
2010,Percent,,Female,Atyrau,29.0
2011,Percent,,Female,Atyrau,35.4
2012,Percent,,Female,Atyrau,55.3
2013,Percent,,Female,Atyrau,50.6
2014,Percent,,Female,Atyrau,55.2
2015,Percent,,Female,Atyrau,46.5
2016,Percent,,Female,Atyrau,59.1
2017,Percent,,Female,Atyrau,55.6
2018,Percent,,Female,Atyrau,60.1
2010,Percent,,Female,Batys Kazakhstan,34.6
2011,Percent,,Female,Batys Kazakhstan,37.8
2012,Percent,,Female,Batys Kazakhstan,39.0
2013,Percent,,Female,Batys Kazakhstan,41.6
2014,Percent,,Female,Batys Kazakhstan,47.9
2015,Percent,,Female,Batys Kazakhstan,45.4
2016,Percent,,Female,Batys Kazakhstan,46.0
2017,Percent,,Female,Batys Kazakhstan,40.2
2018,Percent,,Female,Batys Kazakhstan,41.0
2010,Percent,,Female,Zhambyl,22.8
2011,Percent,,Female,Zhambyl,29.6
2012,Percent,,Female,Zhambyl,30.5
2013,Percent,,Female,Zhambyl,21.6
2014,Percent,,Female,Zhambyl,34.0
2015,Percent,,Female,Zhambyl,38.2
2016,Percent,,Female,Zhambyl,35.2
2017,Percent,,Female,Zhambyl,42.0
2018,Percent,,Female,Zhambyl,41.3
2010,Percent,,Female,Karagandy,37.6
2011,Percent,,Female,Karagandy,38.8
2012,Percent,,Female,Karagandy,47.4
2013,Percent,,Female,Karagandy,46.9
2014,Percent,,Female,Karagandy,46.9
2015,Percent,,Female,Karagandy,55.7
2016,Percent,,Female,Karagandy,46.1
2017,Percent,,Female,Karagandy,49.3
2018,Percent,,Female,Karagandy,48.5
2010,Percent,,Female,Kostanay,43.5
2011,Percent,,Female,Kostanay,33.8
2012,Percent,,Female,Kostanay,32.8
2013,Percent,,Female,Kostanay,34.1
2014,Percent,,Female,Kostanay,41.2
2015,Percent,,Female,Kostanay,39.7
2016,Percent,,Female,Kostanay,42.1
2017,Percent,,Female,Kostanay,41.7
2018,Percent,,Female,Kostanay,38.1
2010,Percent,,Female,Kyzylorda,38.3
2011,Percent,,Female,Kyzylorda,42.5
2012,Percent,,Female,Kyzylorda,44.9
2013,Percent,,Female,Kyzylorda,45.3
2014,Percent,,Female,Kyzylorda,39.4
2015,Percent,,Female,Kyzylorda,44.9
2016,Percent,,Female,Kyzylorda,46.7
2017,Percent,,Female,Kyzylorda,44.9
2018,Percent,,Female,Kyzylorda,43.8
2010,Percent,,Female,Mangistau,30.1
2011,Percent,,Female,Mangistau,40.9
2012,Percent,,Female,Mangistau,47.6
2013,Percent,,Female,Mangistau,29.1
2014,Percent,,Female,Mangistau,50.3
2015,Percent,,Female,Mangistau,36.7
2016,Percent,,Female,Mangistau,46.8
2017,Percent,,Female,Mangistau,36.5
2018,Percent,,Female,Mangistau,35.9
2010,Percent,,Female,Ontustik Kazakhstan,26.6
2011,Percent,,Female,Ontustik Kazakhstan,32.0
2012,Percent,,Female,Ontustik Kazakhstan,33.9
2013,Percent,,Female,Ontustik Kazakhstan,34.3
2014,Percent,,Female,Ontustik Kazakhstan,47.8
2015,Percent,,Female,Ontustik Kazakhstan,47.4
2016,Percent,,Female,Ontustik Kazakhstan,52.4
2017,Percent,,Female,Ontustik Kazakhstan,55.2
2010,Percent,,Female,Pavlodar,27.9
2011,Percent,,Female,Pavlodar,31.5
2012,Percent,,Female,Pavlodar,36.3
2013,Percent,,Female,Pavlodar,32.2
2014,Percent,,Female,Pavlodar,44.0
2015,Percent,,Female,Pavlodar,40.5
2016,Percent,,Female,Pavlodar,37.6
2017,Percent,,Female,Pavlodar,45.4
2018,Percent,,Female,Pavlodar,40.6
2010,Percent,,Female,Soltustik Kazakhstan,23.0
2011,Percent,,Female,Soltustik Kazakhstan,32.7
2012,Percent,,Female,Soltustik Kazakhstan,39.4
2013,Percent,,Female,Soltustik Kazakhstan,33.1
2014,Percent,,Female,Soltustik Kazakhstan,36.8
2015,Percent,,Female,Soltustik Kazakhstan,45.2
2016,Percent,,Female,Soltustik Kazakhstan,44.6
2017,Percent,,Female,Soltustik Kazakhstan,38.9
2018,Percent,,Female,Soltustik Kazakhstan,31.5
2018,Percent,,Female,Turkistan,49.2
2010,Percent,,Female,Shygys Kazakhstan,34.8
2011,Percent,,Female,Shygys Kazakhstan,35.8
2012,Percent,,Female,Shygys Kazakhstan,37.4
2013,Percent,,Female,Shygys Kazakhstan,46.4
2014,Percent,,Female,Shygys Kazakhstan,46.4
2015,Percent,,Female,Shygys Kazakhstan,46.2
2016,Percent,,Female,Shygys Kazakhstan,46.7
2017,Percent,,Female,Shygys Kazakhstan,49.0
2018,Percent,,Female,Shygys Kazakhstan,44.2
2010,Percent,,Female,Nur-Sultan city,72.2
2011,Percent,,Female,Nur-Sultan city,71.8
2012,Percent,,Female,Nur-Sultan city,67.3
2013,Percent,,Female,Nur-Sultan city,77.8
2014,Percent,,Female,Nur-Sultan city,62.6
2015,Percent,,Female,Nur-Sultan city,66.9
2016,Percent,,Female,Nur-Sultan city,69.6
2017,Percent,,Female,Nur-Sultan city,74.5
2018,Percent,,Female,Nur-Sultan city,80.5
2010,Percent,,Female,Almaty city,64.6
2011,Percent,,Female,Almaty city,66.2
2012,Percent,,Female,Almaty city,71.3
2013,Percent,,Female,Almaty city,68.8
2014,Percent,,Female,Almaty city,72.1
2015,Percent,,Female,Almaty city,80.8
2016,Percent,,Female,Almaty city,71.8
2017,Percent,,Female,Almaty city,69.3
2018,Percent,,Female,Almaty city,69.2
2018,Percent,,Female,Shymkent city,57.7
2010,Percent,urban area,,,42.7
2011,Percent,urban area,,,44.8
2012,Percent,urban area,,,47.8
2013,Percent,urban area,,,49.3
2014,Percent,urban area,,,52.5
2015,Percent,urban area,,,53.8
2016,Percent,urban area,,,52.8
2017,Percent,urban area,,,53.8
2018,Percent,urban area,,,53.7
2010,Percent,urban area,,Akmola,39.9
2011,Percent,urban area,,Akmola,32.8
2012,Percent,urban area,,Akmola,26.9
2013,Percent,urban area,,Akmola,31.3
2014,Percent,urban area,,Akmola,43.3
2015,Percent,urban area,,Akmola,37.6
2016,Percent,urban area,,Akmola,39.9
2017,Percent,urban area,,Akmola,38.4
2018,Percent,urban area,,Akmola,45.1
2010,Percent,urban area,,Aktobe,34.2
2011,Percent,urban area,,Aktobe,55.4
2012,Percent,urban area,,Aktobe,45.9
2013,Percent,urban area,,Aktobe,58.1
2014,Percent,urban area,,Aktobe,38.3
2015,Percent,urban area,,Aktobe,40.1
2016,Percent,urban area,,Aktobe,42.7
2017,Percent,urban area,,Aktobe,49.9
2018,Percent,urban area,,Aktobe,39.5
2010,Percent,urban area,,Almaty,30.2
2011,Percent,urban area,,Almaty,28.0
2012,Percent,urban area,,Almaty,27.9
2013,Percent,urban area,,Almaty,30.8
2014,Percent,urban area,,Almaty,40.2
2015,Percent,urban area,,Almaty,43.0
2016,Percent,urban area,,Almaty,42.3
2017,Percent,urban area,,Almaty,42.0
2018,Percent,urban area,,Almaty,43.4
2010,Percent,urban area,,Atyrau,33.3
2011,Percent,urban area,,Atyrau,39.1
2012,Percent,urban area,,Atyrau,53.6
2013,Percent,urban area,,Atyrau,49.1
2014,Percent,urban area,,Atyrau,63.9
2015,Percent,urban area,,Atyrau,42.1
2016,Percent,urban area,,Atyrau,58.9
2017,Percent,urban area,,Atyrau,50.0
2018,Percent,urban area,,Atyrau,58.5
2010,Percent,urban area,,Batys Kazakhstan,48.3
2011,Percent,urban area,,Batys Kazakhstan,47.6
2012,Percent,urban area,,Batys Kazakhstan,49.2
2013,Percent,urban area,,Batys Kazakhstan,43.8
2014,Percent,urban area,,Batys Kazakhstan,55.6
2015,Percent,urban area,,Batys Kazakhstan,52.1
2016,Percent,urban area,,Batys Kazakhstan,48.2
2017,Percent,urban area,,Batys Kazakhstan,51.3
2018,Percent,urban area,,Batys Kazakhstan,45.1
2010,Percent,urban area,,Zhambyl,25.8
2011,Percent,urban area,,Zhambyl,30.3
2012,Percent,urban area,,Zhambyl,43.9
2013,Percent,urban area,,Zhambyl,34.0
2014,Percent,urban area,,Zhambyl,38.7
2015,Percent,urban area,,Zhambyl,43.2
2016,Percent,urban area,,Zhambyl,44.3
2017,Percent,urban area,,Zhambyl,47.1
2018,Percent,urban area,,Zhambyl,43.0
2010,Percent,urban area,,Karagandy,35.9
2011,Percent,urban area,,Karagandy,37.9
2012,Percent,urban area,,Karagandy,39.2
2013,Percent,urban area,,Karagandy,41.2
2014,Percent,urban area,,Karagandy,44.7
2015,Percent,urban area,,Karagandy,46.5
2016,Percent,urban area,,Karagandy,44.2
2017,Percent,urban area,,Karagandy,43.7
2018,Percent,urban area,,Karagandy,44.1
2010,Percent,urban area,,Kostanay,46.0
2011,Percent,urban area,,Kostanay,33.6
2012,Percent,urban area,,Kostanay,31.9
2013,Percent,urban area,,Kostanay,35.7
2014,Percent,urban area,,Kostanay,47.0
2015,Percent,urban area,,Kostanay,37.3
2016,Percent,urban area,,Kostanay,42.3
2017,Percent,urban area,,Kostanay,43.4
2018,Percent,urban area,,Kostanay,37.2
2010,Percent,urban area,,Kyzylorda,45.9
2011,Percent,urban area,,Kyzylorda,46.9
2012,Percent,urban area,,Kyzylorda,43.5
2013,Percent,urban area,,Kyzylorda,41.2
2014,Percent,urban area,,Kyzylorda,41.6
2015,Percent,urban area,,Kyzylorda,48.3
2016,Percent,urban area,,Kyzylorda,44.7
2017,Percent,urban area,,Kyzylorda,43.5
2018,Percent,urban area,,Kyzylorda,44.8
2010,Percent,urban area,,Mangistau,26.4
2011,Percent,urban area,,Mangistau,36.3
2012,Percent,urban area,,Mangistau,40.7
2013,Percent,urban area,,Mangistau,32.6
2014,Percent,urban area,,Mangistau,47.2
2015,Percent,urban area,,Mangistau,33.3
2016,Percent,urban area,,Mangistau,42.4
2017,Percent,urban area,,Mangistau,35.9
2018,Percent,urban area,,Mangistau,40.5
2010,Percent,urban area,,Ontustik Kazakhstan,37.0
2011,Percent,urban area,,Ontustik Kazakhstan,41.4
2012,Percent,urban area,,Ontustik Kazakhstan,46.0
2013,Percent,urban area,,Ontustik Kazakhstan,49.6
2014,Percent,urban area,,Ontustik Kazakhstan,52.1
2015,Percent,urban area,,Ontustik Kazakhstan,48.1
2016,Percent,urban area,,Ontustik Kazakhstan,59.1
2017,Percent,urban area,,Ontustik Kazakhstan,61.0
2010,Percent,urban area,,Pavlodar,32.0
2011,Percent,urban area,,Pavlodar,32.9
2012,Percent,urban area,,Pavlodar,37.7
2013,Percent,urban area,,Pavlodar,29.6
2014,Percent,urban area,,Pavlodar,44.0
2015,Percent,urban area,,Pavlodar,38.2
2016,Percent,urban area,,Pavlodar,38.5
2017,Percent,urban area,,Pavlodar,45.4
2018,Percent,urban area,,Pavlodar,39.9
2010,Percent,urban area,,Soltustik Kazakhstan,34.5
2011,Percent,urban area,,Soltustik Kazakhstan,37.3
2012,Percent,urban area,,Soltustik Kazakhstan,39.3
2013,Percent,urban area,,Soltustik Kazakhstan,35.9
2014,Percent,urban area,,Soltustik Kazakhstan,41.3
2015,Percent,urban area,,Soltustik Kazakhstan,47.1
2016,Percent,urban area,,Soltustik Kazakhstan,54.9
2017,Percent,urban area,,Soltustik Kazakhstan,47.0
2018,Percent,urban area,,Soltustik Kazakhstan,36.2
2018,Percent,urban area,,Turkistan,43.9
2010,Percent,urban area,,Shygys Kazakhstan,37.8
2011,Percent,urban area,,Shygys Kazakhstan,37.8
2012,Percent,urban area,,Shygys Kazakhstan,42.4
2013,Percent,urban area,,Shygys Kazakhstan,37.6
2014,Percent,urban area,,Shygys Kazakhstan,48.5
2015,Percent,urban area,,Shygys Kazakhstan,43.1
2016,Percent,urban area,,Shygys Kazakhstan,43.3
2017,Percent,urban area,,Shygys Kazakhstan,46.4
2018,Percent,urban area,,Shygys Kazakhstan,46.3
2010,Percent,urban area,,Nur-Sultan city,61.4
2011,Percent,urban area,,Nur-Sultan city,68.3
2012,Percent,urban area,,Nur-Sultan city,60.4
2013,Percent,urban area,,Nur-Sultan city,75.8
2014,Percent,urban area,,Nur-Sultan city,61.8
2015,Percent,urban area,,Nur-Sultan city,64.1
2016,Percent,urban area,,Nur-Sultan city,64.6
2017,Percent,urban area,,Nur-Sultan city,68.4
2018,Percent,urban area,,Nur-Sultan city,77.0
2010,Percent,urban area,,Almaty city,61.1
2011,Percent,urban area,,Almaty city,60.0
2012,Percent,urban area,,Almaty city,71.4
2013,Percent,urban area,,Almaty city,66.9
2014,Percent,urban area,,Almaty city,73.1
2015,Percent,urban area,,Almaty city,79.9
2016,Percent,urban area,,Almaty city,68.5
2017,Percent,urban area,,Almaty city,67.2
2018,Percent,urban area,,Almaty city,67.9
2018,Percent,urban area,,Shymkent city,60.0
2010,Percent,urban area,Male,,37.6
2011,Percent,urban area,Male,,38.6
2012,Percent,urban area,Male,,41.9
2013,Percent,urban area,Male,,43.8
2014,Percent,urban area,Male,,48.3
2015,Percent,urban area,Male,,48.2
2016,Percent,urban area,Male,,47.8
2017,Percent,urban area,Male,,48.4
2018,Percent,urban area,Male,,49.5
2010,Percent,urban area,Male,Akmola,43.3
2011,Percent,urban area,Male,Akmola,31.7
2012,Percent,urban area,Male,Akmola,19.8
2013,Percent,urban area,Male,Akmola,29.7
